TopDepth,MidDepth,BotDepth,Oxygen18,Deuterium,TopTime,MidTime,BotTime
21.28730885,21.37880935,21.47030985,-28.7,-222.1,2013.7843650361,2013.75133236462,2013.71829969314
21.47030985,21.56364094,21.65697203,-25.4,-196.8,2013.71829969314,2013.68460615884,2013.65091262455
21.65697203,21.77498602,21.893,-24.1,-186.4,2013.65091262455,2013.60830829603,2013.56570397112
21.893,21.97769221,22.06238442,-21.9,-167.7,2013.56570397112,2013.53512916606,2013.50455436101
22.06238442,22.14675414,22.23112386,-22.7,-174.9,2013.50455436101,2013.47409597834,2013.44363759567
22.23112386,22.32720897,22.42329408,-23.9,-184.6,2013.44363759567,2013.40894983032,2013.37426206498
22.42329408,22.50754135,22.59178862,-25.5,-198.8,2013.37426206498,2013.34384788809,2013.31343371119
22.59178862,22.70224826,22.8127079,-25.1,-195,2013.31343371119,2013.27355658484,2013.23367945848
22.8127079,22.90956448,23.00642106,-27.4,-213.5,2013.23367945848,2013.19871318412,2013.16374690975
23.00642106,23.09231074,23.17820042,-32,-250.1,2013.16374690975,2013.13273980505,2013.10173270036
23.17820042,23.27542085,23.37264128,-31.3,-243.3,2013.10173270036,2013.0666350722,2013.03153744404
23.37264128,23.46351442,23.55438756,-28.6,-224.5,2013.03153744404,2012.99890516511,2012.9705957757
23.55438756,23.64125186,23.72811616,-30.8,-239.5,2012.9705957757,2012.94353524611,2012.91647471651
23.72811616,23.82561264,23.92310912,-28.3,-218.5,2012.91647471651,2012.88610198131,2012.85572924611
23.92310912,24.02468898,24.12626885,-26.9,-209.1,2012.85572924611,2012.82408442991,2012.79243961059
24.12626885,24.22182514,24.31738144,-25.5,-195.4,2012.79243961059,2012.76267129595,2012.73290297819
24.31738144,24.41467601,24.51197058,-20.3,-152.1,2012.73290297819,2012.7025931433,2012.67228330841
24.51197058,24.61216204,24.71235349,-23.3,-179.2,2012.67228330841,2012.64107101558,2012.60985872586
24.71235349,24.8122593,24.9121651,-27.8,-214.1,2012.60985872586,2012.57873542056,2012.54761211838
24.9121651,24.97408255,25.036,-22.9,-192,2012.54761211838,2012.52832319315,2012.50903426791
25.036,25.10160621,25.16721242,-23.1,-179,2012.50903426791,2012.48859619626,2012.46815812461
25.16721242,25.25560622,25.34400002,-22.1,-170.4,2012.46815812461,2012.44062111526,2012.41308410592
25.34400002,25.43254338,25.52108673,-23.8,-185.4,2012.41308410592,2012.38550050467,2012.35791690654
25.52108673,25.608828,25.69656927,-25,-194.2,2012.35791690654,2012.33058317757,2012.3032494486
25.69656927,25.79545399,25.89433871,-26.6,-208.2,2012.3032494486,2012.27244423988,2012.24163903115
25.89433871,25.99414864,26.09395857,-29.4,-229,2012.24163903115,2012.21054559502,2012.17945215888
26.09395857,26.18885049,26.28374241,-33.3,-258.5,2012.17945215888,2012.14989081308,2012.12032946729
26.28374241,26.37296692,26.46219144,-32,-250.1,2012.12032946729,2012.09253366978,2012.06473786916
26.46219144,26.55708183,26.65197223,-31.5,-245.3,2012.06473786916,2012.035177,2012.00561612773
26.65197223,26.75344409,26.85491595,-32.9,-254.6,2012.00561612773,2011.9578565202,2011.90660810606
26.85491595,26.9518576,27.04879924,-28.8,-222.3,2011.90660810606,2011.85764767677,2011.80868725253
27.04879924,27.11084195,27.17288465,-26.9,-210.2,2011.80868725253,2011.77735255051,2011.74601785354
27.17288465,27.24427883,27.31567301,-26.1,-202.4,2011.74601785354,2011.70996018687,2011.6739025202
27.31567301,27.39530949,27.47494598,-26.6,-207.1,2011.6739025202,2011.63368207576,2011.59346162626
27.47494598,27.57528233,27.67561868,-26.4,-209.3,2011.59346162626,2011.54278670202,2011.49211177778
27.67561868,27.76184967,27.84808066,-28.3,-220.2,2011.49211177778,2011.44856077273,2011.40500976768
27.84808066,27.93349184,28.01890302,-26.8,-209.2,2011.40500976768,2011.36187280808,2011.31873584848
28.01890302,28.10688191,28.1948608,-25.3,-197.1,2011.31873584848,2011.27430206566,2011.22986828283
28.1948608,28.28088296,28.36690511,-23.7,-188.2,2011.22986828283,2011.18642274747,2011.14297721717
28.36690511,28.45398679,28.54106846,-28.1,-219.6,2011.14297721717,2011.09899657071,2011.05501592929
28.54106846,28.63191584,28.72276321,-31.6,-246.1,2011.05501592929,2011.00913341414,2010.96615664651
28.72276321,28.81592708,28.90909095,-27.3,-209.2,2010.96615664651,2010.92282461395,2010.8794925814
28.90909095,29.00345155,29.09781216,-24.8,-191.8,2010.8794925814,2010.83560393023,2010.79171527442
29.09781216,29.19172784,29.28564352,-23.2,-177.8,2010.79171527442,2010.74803356279,2010.70435185116
29.28564352,29.38123211,29.4768207,-24.6,-189,2010.70435185116,2010.65989204186,2010.61543223256
29.4768207,29.57093917,29.66505764,-25.5,-197.7,2010.61543223256,2010.5716562,2010.52788016744
29.66505764,29.76442112,29.8637846,-26.8,-209.1,2010.52788016744,2010.48166459535,2010.43544902326
29.8637846,29.96083317,30.05788174,-31.3,-244.7,2010.43544902326,2010.39031015349,2010.34517128372
30.05788174,30.14594087,30.234,-33.2,-258.1,2010.34517128372,2010.30421354884,2010.26325581395
30.234,30.32956301,30.42512603,-31.8,-250.3,2010.26325581395,2010.21880790233,2010.17435998605
30.42512603,30.52311754,30.62110904,-30.5,-239.2,2010.17435998605,2010.12878253953,2010.08320509767
30.62110904,30.71293491,30.80476078,-28.6,-220.4,2010.08320509767,2010.0404953907,2009.99779593519
30.80476078,30.89357817,30.98239555,-31.1,-242.4,2009.99779593519,2009.95667677315,2009.91555761574
30.98239555,31.07443096,31.16646636,-25.7,-201.8,2009.91555761574,2009.87294862963,2009.83033964815
31.16646636,31.25956867,31.35267098,-22.6,-174.5,2009.83033964815,2009.78723672685,2009.74413380556
31.35267098,31.44366458,31.53465819,-28,-218.7,2009.74413380556,2009.70200713889,2009.65988046759
31.53465819,31.6240359,31.71341361,-25.9,-201.6,2009.65988046759,2009.61850189815,2009.5771233287
31.71341361,31.80571247,31.89801132,-21.5,-166.7,2009.5771233287,2009.534392375,2009.49166142593
31.89801132,31.96778172,32.03755213,NaN,NaN,2009.49166142593,2009.45936031481,2009.42705919907
32.03755213,32.10107843,32.16460474,NaN,NaN,2009.42705919907,2009.397648875,2009.3682385463
32.16460474,32.23647974,32.30835475,-25.6,-199.7,2009.3682385463,2009.33496308333,2009.30168761574
32.30835475,32.39663845,32.48492215,-30.1,-236.4,2009.30168761574,2009.26081553241,2009.21994344907
32.48492215,32.57544845,32.66597476,-31.5,-243.1,2009.21994344907,2009.178033125,2009.1361227963
32.66597476,32.7487752,32.83157564,-31.1,-239.6,2009.1361227963,2009.09778925926,2009.05945572222
32.83157564,32.92154529,33.01151495,-27.7,-216.1,2009.05945572222,2009.01780310648,2008.95481144737
33.01151495,33.1101862,33.20885745,-25.4,-196.7,2008.95481144737,2008.8682577193,2008.78170399123
33.20885745,33.30474524,33.40063303,-24.9,-192.7,2008.78170399123,2008.69759189474,2008.61347979825
33.40063303,33.49813223,33.59563144,-27.6,-215.8,2008.61347979825,2008.52795418421,2008.4424285614
33.59563144,33.68884072,33.78205,-29.8,-232.6,2008.4424285614,2008.36066603509,2008.27890350877
