Sample number,Top Depth,Bot Depth,Mid Depth,Top Time (11-8-17 Timescale),Bot Time (11-8-17 timescale),Avg Time (11-8-17 timescale),IC MSA (ppb),IC Cl- (ppb),IC NO3-2 (ppb),IC SO4-2 (ppb),nssSO4-2 (ppb),IC Na+ (ppb),IC NH4+ (ppb),IC K+ (ppb),IC Mg2+ (ppb),IC Ca2+ (ppb),Sr88(LR) (ppt),Pb208(LR) (ppt),As75(LR) (ppt),As75(HR) (ppt),Cs133(LR) (ppt),Ba137(LR) (ppt),La139(LR) (ppt),Ce140(LR) (ppt),Pr141(LR) (ppt),Li7(LR) (ppt),S32(MR) (ppb),Ca44(MR) (ppb),V51(MR) (ppt),Cr52(MR) (ppt),Mn55(MR) (ppt),Fe56(MR) (ppb),Co59(MR) (ppt),Na23(MR) (ppb),Si28(MR) (ppt),K39(HR) (ppb),Combo clean Cu interp to DIC2 time (ppt),Combo clean Cd interp to DIC2 time (ppt),Combo clean Bi interp to DIC2 time (ppt),Combo clean Zn interp to DIC2 time (ppt)
51,7.35,7.43,7.39,2012.01,2011.99,2012,0.39,28.33,33.87,96.73,88.2625,16.5,0.64,4.92,0.63,6.8,28.05,22.7,3.03,3.12,2.23,128.62,1.1,2.83,0.35,26.38,13.5,4.12,16.9,13.44,226.29,7.14,4.92,10.42,13.84,5.22,             NaN,2.61,0.57,             NaN
52,7.43,7.52,7.47,2011.99,2011.97,2011.98,0.29,49.86,5.18,100.67,99.375,27.8,0,10.88,1.22,8.52,44.13,23.96,5,4.83,1.84,57.45,0.83,1.85,0.22,18.84,14.78,5.66,12.59,10.5,181.4,7.38,5.3,17.02,10.14,9.16,             NaN,3.19,0.83,651.85
53,7.52,7.56,7.54,2011.97,2011.96,2011.96,8.09,25.16,29.86,92.12,84.655,16.38,17.96,6.75,0.6,9.5,25.7,37.76,5.7,5.59,1.91,66.52,0.79,2.01,0.23,20.03,9.3,4.33,12.37,18.88,168.21,6.72,3.94,12.85,13.24,6.1,             NaN,3.15,0.71,500.74
54,7.56,7.69,7.62,2011.96,2011.92,2011.94,4.39,37.28,30.62,124.18,116.525,15.32,15.3,6.5,0.92,17.2,33.12,36.26,7.23,6.97,1.3,47.29,0.91,2.07,0.25,13.09,11.88,3.98,8.44,13.1,113.24,4.1,2.86,8.27,12.68,5.66,             NaN,2.77,1.06,589.1
55,7.69,7.79,7.74,2011.92,2011.89,2011.91,11.62,13.35,43.98,109.54,98.545,6.78,6.48,3.85,0.23,9.86,23.34,52.81,8.38,8.07,0.68,28.05,1.03,2.13,0.27,6.15,14.45,3.63,4.5,7.32,58.27,1.47,1.77,3.68,12.13,5.22,             NaN,3.44,0.85,580.88
56,7.79,7.9,7.85,2011.89,2011.86,2011.88,6.21,12.3,37.82,147.35,137.895,3.1,16.86,3.44,0.19,5.12,22.1,48.56,9.46,9.11,0.91,33.57,1.3,3.01,0.36,5.92,20.47,3.8,6.52,9.26,62.62,2.1,2.12,3.06,12.65,3.19,             NaN,2.15,1.3,504.94
57,7.9,8,7.95,2011.86,2011.83,2011.85,3.04,5.86,3.02,33.51,32.755,3.41,0.5,0.89,0.12,3.23,7.48,6.73,3.4,3.25,0.32,43.24,0.26,0.56,0.1,3.8,4.34,0.95,2.7,3.34,45.03,2.41,1.92,0.84,8.87,0.69,             NaN,1.24,0.41,353.38
58,8,8.11,8.06,2011.83,2011.8,2011.82,4.24,19.65,16.06,78.82,74.805,9.34,0,2.85,0.41,17.54,9.48,11.74,3.73,3.83,0.56,47.65,0.93,2.06,0.29,8.52,14.7,12.26,5.63,14.88,103.08,2.8,2.22,28.26,12.61,6.54,             NaN,1.11,0.37,274.33
59,8.11,8.21,8.16,2011.8,2011.78,2011.79,4.26,16.86,1.6,44.4,44,10.34,0,0.76,0.11,3.24,11.49,16.76,4.05,4.42,0.18,12.99,0.34,0.44,0.08,2.62,6.97,1.89,0.85,3.02,10.23,0.44,1.08,2.36,12.2,0.68,             NaN,1.01,0.33,196.97
60,8.21,8.32,8.27,2011.78,2011.75,2011.76,1.27,17.45,0.24,21.77,21.71,10.5,0,0.67,0.05,4.73,7.61,28.57,2.98,3.12,0.2,10.02,0.5,0.48,0.08,2.22,4.12,1.37,0.89,11.5,18.55,0.63,1.16,3.7,7.54,0.53,             NaN,1.34,0.29,259.93
