Sample number,Top Depth,Bot Depth,Mid Depth,Top Time (11-8-17 Timescale),Bot Time (11-8-17 timescale),Avg Time (11-8-17 timescale),IC MSA (ppb),IC Cl- (ppb),IC NO3-2 (ppb),IC SO4-2 (ppb),nssSO4-2 (ppb),IC Na+ (ppb),IC NH4+ (ppb),IC K+ (ppb),IC Mg2+ (ppb),IC Ca2+ (ppb),Sr88(LR) (ppt),Pb208(LR) (ppt),As75(LR) (ppt),As75(HR) (ppt),Cs133(LR) (ppt),Ba137(LR) (ppt),La139(LR) (ppt),Ce140(LR) (ppt),Pr141(LR) (ppt),Li7(LR) (ppt),S32(MR) (ppb),Ca44(MR) (ppb),V51(MR) (ppt),Cr52(MR) (ppt),Mn55(MR) (ppt),Fe56(MR) (ppb),Co59(MR) (ppt),Na23(MR) (ppb),Si28(MR) (ppt),K39(HR) (ppb),Combo clean Cu interp to DIC2 time (ppt),Combo clean Cd interp to DIC2 time (ppt),Combo clean Bi interp to DIC2 time (ppt),Combo clean Zn interp to DIC2 time (ppt)
2388,168.4,168.44,168.42,1551.32,1550.63,1550.98,7.86,9.82,51.53,79.42,66.5375,0.58,5.96,0.19,0.71,4.5,21.77,5.72,5.2,5.66,0.81,51.84,1.31,3.4,0.44,6.34,16.53,5.87,4.65,4.04,133.1,1.9,3.12,2.27,11.02,2.05,7.86,1.04,0.13,67.46
2389,168.47,168.52,168.5,1550.12,1549.23,1549.68,4.93,12.74,44.73,92.54,81.3575,3.79,7.92,0.2,1.18,13.69,33.21,8.39,5.31,5.66,1.12,59.39,1.31,3.08,0.38,8.33,17.09,7.44,8.76,6.66,156.17,3.36,3.42,3.35,19.31,3.26,19.5,0.78,0.1,119.35
2390,168.52,168.56,168.54,1549.23,1548.36,1548.8,4.46,7.57,45.96,87.01,75.52,1.03,0.51,0.12,1.66,11.83,59.33,9.2,4.68,6.58,1.39,80.02,1.98,4.97,0.61,9.22,17.3,9.74,10.42,7.21,114.07,3.94,2.97,2,24.02,2.64,12.13,0.51,0.09,90.39
2391,168.56,168.6,168.58,1548.36,1547.57,1547.96,4.96,9.81,35.28,65.41,56.59,3.41,5.82,1.28,1.56,8.63,27.08,13.49,10.11,8.68,1.16,70.42,2.22,5.2,0.65,7.63,10.53,6.49,7.45,6.61,124.69,2.97,2.67,3.7,14.53,1.94,6.86,0.57,0.08,54.57
2392,168.6,168.65,168.62,1547.57,1546.8,1547.18,3.85,16.47,24.16,47.58,41.54,6.96,0,0.12,0.94,8.5,64.24,8.3,9.4,7.12,1.85,58.93,3.88,9.87,1.29,6.81,14.33,6.34,7.57,6.07,110.41,2.62,2.7,2.72,29.59,1.94,7.95,0.35,0.18,55.02
2393,168.65,168.69,168.67,1546.8,1546.1,1546.45,4.44,8.74,54.42,89.29,75.685,0.44,12.18,0.17,0.81,5.41,28.1,6.49,4.55,5.57,0.84,47.44,1.07,2.5,0.31,6,18.13,6.19,7.68,5.53,96.13,2.27,2.73,1.74,44.66,1.94,9.04,0.51,0.08,55.52
2394,168.69,168.74,168.72,1546.1,1545.17,1545.64,5.3,9.15,31.85,51.27,43.3075,1.21,13.85,0.2,0.79,5.07,43.97,7.6,3.88,2.92,1.67,91.75,1.5,4.06,0.62,13.45,10.15,6.29,12.54,8.84,113.01,5.29,3.13,3.14,19.97,3.02,10.24,0.46,0.08,78.18
2395,168.74,168.79,168.76,1545.17,1544.47,1544.82,4.84,14.26,35.88,63.51,54.54,1.4,10.79,0.3,1.09,7.1,28.07,7.09,3.1,3.38,0.73,50.01,1.32,3.16,0.39,5.47,11.66,6.41,5.31,3.46,100.25,1.64,2.2,1.9,12.27,2.19,8.68,0.43,0.08,58.59
2396,168.79,168.83,168.81,1544.47,1543.86,1544.16,5.3,20.13,52.46,136.31,123.195,0.65,11.92,0.16,0.8,5.3,20.48,10.41,3.63,2.28,0.56,42.44,0.87,2.23,0.27,4.71,24.71,7.68,6.24,6.77,91.95,2.91,2.29,1.45,13.28,1.66,9.44,0.43,0.06,62.13
2397,168.83,168.86,168.84,1543.86,1542.9,1543.38,5.27,13.22,59.71,77.85,62.9225,2.78,32.35,0.48,1.51,10.56,51.62,20.61,5.89,5.57,1.37,67.95,1.75,4.59,0.57,10.81,15.02,9.43,9.3,7.17,159.17,5.7,4.01,4.02,16.98,2.95,11.19,0.82,0.1,90.04
2398,168.86,168.9,168.88,1542.9,1542.11,1542.51,5.62,14.1,52.98,108.65,95.405,1.14,31.52,0.6,1.13,5.96,25.37,9.55,4.91,4.11,0.72,39.15,1.2,3.38,0.47,4.77,19.5,5.79,4.68,4.21,79.47,1.7,1.98,1.7,8.73,1.94,15.94,1.46,0.1,48.17
2399,168.9,168.95,168.92,1542.11,1540.66,1541.39,5.63,11.53,41.85,99.4,88.9375,0.94,41.88,0.5,1.19,5.92,25.89,8.9,4.73,5.75,0.68,33.51,2.09,5.72,0.76,4.69,19.12,6.56,4.81,3.09,92.89,2.26,2.09,1.67,11.85,2.16,10.88,1.63,0.1,36.26
2400,168.95,169,168.97,1540.66,1539.61,1540.13,4.7,16.25,49.99,92.96,80.4625,1.19,11.41,0.17,0.54,3.6,25.24,18.44,3.94,5.3,0.58,43.7,0.73,1.86,0.24,3.61,17.78,8.02,4.7,3.02,119.85,1.17,1.61,2.95,10.26,1.51,18.74,1.23,0.1,79.16
2401,169,169.03,169.02,1539.61,1538.87,1539.24,7.83,17.22,33.93,167.85,159.3675,0.68,4.16,0.31,0.69,2.74,18.17,11.96,6.37,6.12,1.13,43.75,0.66,1.59,0.2,5.43,30.6,4.92,6.59,3.65,113.67,1.66,3.5,1.39,16.78,1.64,10.74,0.61,0.12,58.31
2402,169.03,169.08,169.05,1538.87,1537.79,1538.33,5.77,28.22,40.05,135.19,125.1775,2.77,7.26,0.53,1.29,5.47,34.67,9.17,7.58,8.59,2.65,81.26,1.33,3,0.37,11.71,21.53,6.96,9.3,5.78,105.84,3.31,3.29,5.8,17.78,3.62,15.36,1.01,0.12,69.62
2403,169.08,169.12,169.1,1537.79,1537.11,1537.45,3.56,21.39,44.01,125.02,114.0175,0.97,12.82,0.34,0.45,2.46,21.95,10,3.66,3.2,0.5,37.69,1.15,2.59,0.33,4.63,21.69,5.34,4.57,13.36,71.46,1.21,1.86,1.55,6.63,1.44,10.58,0.67,0.09,47.22
2404,169.12,169.16,169.14,1537.11,1536.37,1536.74,5.37,24.97,46.5,122.66,111.035,0.8,6.95,0.23,1.24,6.85,29.25,6.56,5.68,4.93,1.25,53.84,0.75,1.64,0.19,18.24,21.57,6.75,5.87,4.04,112.1,1.83,2.27,3.57,11.49,2.41,11.96,0.47,0.11,58.02
2405,169.16,169.21,169.18,1536.37,1535.73,1536.05,2.74,20.25,38.04,89.6,80.09,6.09,4.63,0.32,1.38,6.57,28.92,5.94,4.14,4.02,1.22,42.06,1.29,3.18,0.38,6.63,13.43,6.51,4.72,3.42,71.74,1.74,1.92,7.25,7.52,1.83,4.51,0.38,0.1,32.97
2406,169.21,169.25,169.23,1535.73,1535.2,1535.47,4.92,17.12,39.65,147,137.0875,0.47,2.14,0.18,0.66,4.38,25.73,8.08,4.17,4.75,0.86,40.18,1.02,2.72,0.34,5.73,29.24,6.81,5.72,3.98,78.19,1.83,1.98,1.98,6.66,1.6,12.44,0.69,0.1,32.9
2407,169.25,169.3,169.28,1535.2,1534.55,1534.88,3.32,11.86,33.12,69.72,61.44,1.4,13.96,0.23,0.64,5.02,17.74,4.43,2.68,3.65,0.68,30.84,0.96,2.35,0.31,4.04,10.14,4.87,4.53,3.04,69.44,1.65,1.72,2.25,8.53,1.79,3.31,0.77,0.08,46.83
2408,169.3,169.34,169.32,1534.55,1533.84,1534.2,5.57,16.66,38.97,83.74,73.9975,0.9,13.2,0.37,1.11,7,47.95,8.54,6.65,6.49,1.6,103.48,1.71,4.26,0.56,8.99,15.31,8.56,13.89,8.76,140.15,4.56,3.64,4.11,18.03,4.02,22.84,1.36,0.14,73.14
2409,169.34,169.38,169.36,1533.84,1532.94,1533.39,5.5,12.95,40.54,73.39,63.255,4.01,7.28,0.53,1.5,10.59,46.79,9,8.24,6.12,1.62,79.42,2.15,5.18,0.66,9.33,16.43,9.55,9,7.26,152.64,3.13,3.03,4.05,15.95,3.55,22.74,0.84,0.15,99.33
2410,169.38,169.43,169.4,1532.94,1532.06,1532.5,6.13,10.7,41.36,99.16,88.82,2.52,14.3,0.08,0.88,3.59,26.95,14.54,3.17,2.92,0.36,27.05,1.39,3.93,0.57,3.92,19.49,5.06,4.02,2.88,63.77,1.51,1.63,1.49,7.91,1.56,12.01,0.64,0.09,79.1
2411,169.43,169.48,169.46,1532.06,1530.88,1531.47,8.6,9.04,37.88,98.55,89.08,0.89,5.37,0.16,0.74,3.97,26.14,8.76,3.85,2.37,0.73,47.02,0.85,2.03,0.24,5.07,15.19,5.75,7.52,5.14,98.09,2.08,3.22,1.85,12.11,1.79,10.93,0.56,0.08,65.11
2412,169.48,169.53,169.51,1530.88,1529.7,1530.29,6.63,10.02,38.05,111.16,101.6475,1.4,10.05,0.19,0.87,5.85,33.59,15.91,6.03,5.85,1.03,51.25,1.11,2.91,0.38,6.43,21.95,7.47,7.45,4.77,184.05,2.21,3.57,2.14,13.99,2.41,8.46,0.86,0.14,55.46
2413,169.53,169.58,169.55,1529.7,1528.69,1529.19,7.15,9.54,46.85,84.17,72.4575,1.07,1.6,0.31,1.23,6.65,32.53,14.7,4.46,5.75,1.1,55.72,1.31,3.2,0.38,7.26,15.3,6.75,8.05,6.28,116.16,2.48,2.7,2.04,14.93,2.75,9.64,1.14,0.16,56.33
2414,169.58,169.63,169.61,1528.69,1528.02,1528.35,8.3,10.52,60.66,77.99,62.825,0.58,10.32,0.53,0.53,3.93,13.5,5.16,3.31,1.83,0.51,30.87,1.04,2.69,0.33,4.18,14.72,4.84,3.37,2.35,61.8,1.12,1.74,1.33,9.72,2.12,8.46,0.54,0.08,40.04
2415,169.63,169.69,169.66,1528.02,1526.99,1527.51,5.31,14.03,37.86,71.45,61.985,1.19,0.45,0.16,0.79,5.77,29.93,6.49,4.04,4.29,1.13,53.75,0.94,2.27,0.26,5.99,13.27,7.24,5.33,4.07,96.28,1.91,2.16,3.08,14.31,2.1,13.96,0.59,0.09,80.77
2416,169.69,169.74,169.72,1526.99,1525.9,1526.45,3.7,18.81,41.46,72.92,62.555,2.65,19.3,0.78,1.02,4.97,30.32,13.19,4.18,3.2,0.84,51.22,2.99,7.85,1.08,5.32,15.06,6.45,6.76,4.89,114.76,2.91,2.78,3.33,14.61,4.23,27.23,0.78,0.15,62.84
2417,169.74,169.8,169.77,1525.9,1524.98,1525.44,4.76,26.03,47.02,87.35,75.595,1.87,6.4,0.29,1.04,6.28,38.08,10.12,6.11,5.48,1.22,57.31,1.04,2.57,0.33,7.19,16.93,8.3,7.88,4.58,113.35,2.69,2.71,2.67,15.14,2.46,19.3,1.07,0.11,62.27
2418,169.8,169.83,169.81,1524.98,1524.35,1524.67,6.17,9.96,30.03,73.13,65.6225,0.51,0.03,0.14,0.62,4.38,22.88,3.43,2.71,3.11,0.7,36.5,0.47,1.09,0.14,4.02,13.04,5.01,4.25,3.67,65.31,1.13,1.51,2.46,10.69,1.37,5.11,0.44,0.08,58.24
2419,169.83,169.88,169.85,1524.35,1523.66,1524.01,5.38,9.24,34.11,67.75,59.2225,2.69,0.45,0.31,1.51,9.14,43.13,8.93,5.18,5.3,1.81,60.94,1.13,2.84,0.35,9.7,12.09,7.47,6.95,4.64,93.97,2.42,4.03,2.83,13.75,2.39,16.77,0.42,0.09,48.44
2420,169.88,169.91,169.89,1523.66,1523.15,1523.4,4.8,6.12,32.67,95.69,87.5225,0.49,0.23,0.13,0.48,2.54,30.03,6.64,4.11,3.93,0.74,68.34,0.74,1.66,0.22,5.62,19.08,5.84,4.8,3.42,79.59,1.52,2.96,2.43,21,2.1,15.62,0.4,0.17,55.78
2421,169.91,169.96,169.94,1523.15,1522.17,1522.66,5.04,15.1,55.31,91.57,77.7425,2.86,8.87,0.13,1.55,12.48,205.24,11.98,7.26,6.76,2.75,104.79,2.91,7.35,0.95,15.55,18.57,23.24,11.14,12.53,183.08,5.82,3.96,9.69,31.87,3.68,14.45,0.8,0.15,57.77
2422,169.96,170.01,169.99,1522.17,1520.97,1521.57,3.68,18.42,25.7,82.89,76.465,2.64,0.23,0.18,1.2,6.33,38.64,5.88,6.71,6.21,1.35,65.13,1.36,3.19,0.4,8.17,16.2,6.74,8.6,6.33,127.51,3.01,3.34,4.7,15.48,2.37,10.7,0.53,0.1,61.4
2423,170.01,170.06,170.03,1520.97,1520.09,1520.53,5.46,13.71,35.22,110.49,101.685,0.64,3.56,0.07,0.49,3.14,15.59,6.44,4.81,3.29,0.76,36.4,0.97,2.32,0.29,5.22,20.52,4.78,4.85,3.57,79.51,1.37,2.6,1.46,12.57,1.52,9.63,0.48,0.1,63.09
2424,170.06,170.1,170.08,1520.09,1519.36,1519.73,5.59,6.53,16.11,74.16,70.1325,2.33,0.95,0.05,1.05,9.11,31.73,5.96,3.84,4.29,1.46,55.74,1.11,3,0.39,7.43,13.57,7.03,8.22,18.97,108.09,3.12,4.11,3.11,8.61,2.08,9.08,0.18,0.1,20.65
2425,170.1,170.16,170.13,1519.36,1518.18,1518.77,6.21,20.37,54.48,93,79.38,0.88,12.36,0.16,1.17,8.55,38.95,10.42,5.81,5.21,1.44,53.91,1.19,3.06,0.4,7.27,17.88,8.28,7.64,5.52,137.49,2.4,3.07,1.77,12.44,2.58,9.4,0.7,0.2,85.34
2426,170.16,170.22,170.19,1518.18,1517.2,1517.69,6.37,13.43,43.39,74.72,63.8725,1.01,4.99,0.08,1.07,6.31,46.18,7.04,6.06,6.3,2.09,73.13,1.29,3.04,0.38,9.83,14.94,7.44,9.51,5.73,97.82,3.62,4.61,3.28,16.8,2.66,8.83,0.46,0.09,48.26
2427,170.32,170.36,170.34,1515.46,1514.67,1515.07,4.81,19.39,47.98,75.51,63.515,4.16,5.75,0.34,2.01,16.69,95.84,8.83,7.26,6.3,1.97,130.84,3.53,8.08,1,10.66,14.11,23.04,10.51,9.44,244.91,4.76,3.97,5.36,20.05,3.86,21.69,1.16,0.14,39.51
2428,170.36,170.41,170.39,1514.67,1513.64,1514.15,6.94,13.28,39.95,98.68,88.6925,0.21,3.33,0.13,0.19,4.01,11.88,10.62,4.44,1.77,0.62,32.59,0.99,2.33,0.28,4.11,19.06,8.39,3.7,5.64,59.75,1.29,1.48,1.09,3.93,1.54,14.93,0.45,0.07,30.91
2429,170.41,170.46,170.43,1513.64,1512.53,1513.08,5.42,13.11,40.32,73.51,63.43,1.61,6.11,0.17,0.9,7.11,22.76,7.02,3.84,5.57,1.06,53.17,0.95,2.25,0.27,6.85,11.91,8.38,6.17,10.96,73.66,1.81,2.3,3.53,9.85,1.98,9.23,0.58,0.1,97.73
2430,170.46,170.51,170.48,1512.53,1511.44,1511.98,1.91,11.2,9.03,34.71,32.4525,5.41,0.01,0.06,0.63,3.02,10.67,3.22,2.01,1.46,0.72,24.22,0.37,0.9,0.11,3.92,7.14,6.24,2.91,2.1,46.75,0.78,1.64,4.52,3.89,0.94,3.68,1.15,0.09,11.77
2431,170.51,170.54,170.52,1511.44,1510.77,1511.1,4.47,19.9,43,106.03,95.28,0.84,5.34,0.8,1.16,5.91,58.27,8.73,5.93,3.93,1.15,68.28,2.03,4.91,0.66,6.82,21.65,12.19,8.88,10.94,110.03,2.83,2.72,3.68,15.94,6.87,9.69,0.89,0.19,37.83
2432,170.54,170.58,170.56,1510.77,1509.96,1510.37,6.3,20.65,57.02,105.68,91.425,2.57,7.36,0.23,1.38,7.93,62.75,10.45,7.8,7.22,1.47,80.23,1.63,4.44,0.61,6.95,20.56,9.8,7.44,6.66,128.66,2.58,2.48,2.85,19.02,3.43,15.79,1.29,0.17,64.4
2433,171.63,171.67,171.65,1490.11,1489.31,1489.71,4.86,8.45,24.39,71.81,65.7125,1.28,0.94,0.15,1.83,1.77,15.32,3.18,3.55,2.83,0.8,36.09,1.14,2.83,0.36,5.15,13.56,4.13,4.5,2.8,36.27,1.23,1.48,1.65,14.92,1.12,8.81,0.3,0.08,58.08
2434,171.67,171.71,171.69,1489.31,1488.56,1488.94,6.2,15.37,30.35,83.56,75.9725,1.37,3.44,0.12,1.32,6.74,31.74,6.38,5.44,3.65,0.8,39.46,0.88,2.19,0.26,4.57,12.61,6.81,6,4.74,93.11,1.75,3.34,1.87,14.16,1.39,13.01,0.58,0.1,62.97
2435,171.71,171.76,171.74,1488.56,1487.63,1488.1,4.93,8.4,43.17,80.77,69.9775,0.44,24.76,0.16,0.64,4.37,39.54,12.59,10.16,8.49,2.39,57.2,1.39,3.74,0.5,8.63,17.51,7.54,6.35,6.37,114.61,2.3,2.41,2.38,15.32,2.71,20.12,1.33,0.15,89.56
2436,171.76,171.81,171.79,1487.63,1486.47,1487.05,7.25,18.32,33.69,88.03,79.6075,1.69,10.53,0.13,0.93,5.66,39.71,5.95,8.73,9.04,1.42,55.18,1.16,2.93,0.41,7.52,16.58,7.83,6,4,121.14,2.14,2.89,2.25,13.27,2.21,14.62,0.93,0.12,55.33
2437,171.81,171.87,171.84,1486.47,1485.25,1485.86,6.53,11.71,39.45,61.22,51.3575,0.95,6.76,0.11,0.02,4.15,36.23,4.1,3.85,3.47,1.05,35.08,0.67,1.55,0.17,5.4,10.66,6.27,4.2,2.75,63.79,1.64,1.54,3.84,6.95,1.35,15.81,0.92,0.1,15.6
2438,171.87,171.92,171.89,1485.25,1484.31,1484.78,6.94,10.04,36.58,83.75,74.605,1.02,3.64,0.23,0.52,2.55,7.23,4.47,2.91,3.2,0.44,22.86,0.43,1.06,0.13,3.2,13.74,3.53,2.67,2.62,33.84,0.55,1.5,1.46,7.24,1,8.99,0.41,0.1,71.07
2439,171.92,171.97,171.94,1484.31,1483.42,1483.86,5.5,10.76,52.1,77.04,64.015,1.08,2.44,0.17,1,6.4,28.71,12.64,3.36,2.83,1.06,34.31,0.83,1.96,0.25,5.11,13.34,6.29,6.15,3.94,76.76,1.72,2.09,1.68,12.21,1.41,12.26,0.37,0.08,55.64
2440,171.97,172.02,171.99,1483.42,1482.74,1483.08,5.04,11.62,56.88,118.81,104.59,0.34,5.92,0.2,0.51,2.6,23.79,5.25,4,3.29,0.8,37.01,0.98,2.43,0.3,4.82,20.91,5.39,4.96,3.87,63.49,1.4,1.91,2.12,13.72,1.73,12.98,0.66,0.09,74.5
2441,172.02,172.06,172.04,1482.74,1482.1,1482.42,5.23,6.81,21.26,46.38,41.065,1.21,3.48,0.13,0.63,3.68,20.83,2.19,3.53,3.75,0.72,26.02,0.48,1.14,0.15,4.08,6.45,4.16,3.03,1.64,36.45,1.18,1.27,3.45,11.6,0.93,1.51,0.26,0.1,46.07
2442,172.06,172.11,172.08,1482.1,1481,1481.55,6.39,8.75,31.87,56.15,48.1825,3.28,9.76,0.35,0.24,1.5,15.37,5.44,5.33,4.75,1.28,49.8,1.03,2.53,0.33,7.65,14.44,4.82,4.04,3.72,67.53,1.47,1.93,2,14.09,2.18,3.61,0.31,0.13,41.27
2443,172.11,172.14,172.12,1481,1480.42,1480.71,5.65,23.18,45.5,121.2,109.825,5.06,1.02,0.48,2.93,13.6,8.78,3.62,3.28,2.88,5.25,213.28,2.38,5.4,0.67,34.5,23.59,15.06,20.24,12.7,257.39,10.78,5.16,8.1,21.87,6.87,5.77,0.28,0.09,36.26
2444,172.19,172.23,172.21,1479.6,1478.92,1479.26,7.31,8.86,46.29,79.35,67.7775,1.17,9.32,0.15,0.67,7.93,8.78,3.62,3.28,2.88,0.88,48.18,1.4,3.8,0.51,5.91,13.98,7.05,6.06,5.07,214.23,2.16,2.54,1.87,4.75,2.5,5.77,0.28,0.09,36.26
2445,172.23,172.28,172.26,1478.92,1478.27,1478.6,7.09,5.01,42.83,41.62,30.9125,0.81,3.31,0.11,0.39,2.33,2.19,1.8,1.23,1,0.21,8.73,0.24,0.56,0.07,1.9,7.49,4.12,3.79,1.06,33.68,0.27,1.21,0.91,7.3,0.34,7.97,0.24,0.05,31.41
2446,172.28,172.32,172.3,1478.27,1477.73,1478,6.75,13.33,66.59,109.05,92.4025,0.76,12.22,0.18,0.88,4.47,27.82,11.57,4.21,4.93,1.17,47.01,0.99,2.57,0.32,5.66,17.76,6.75,6.12,7.07,99.7,2.21,2.52,2.14,11.25,2.07,12.24,0.55,0.15,50.74
2447,172.32,172.37,172.35,1477.73,1477.09,1477.41,5.54,6.12,36.62,58.49,49.335,1.28,7.28,0.13,0.42,2.81,18.72,5.19,2.68,3.2,0.67,29.38,0.55,1.51,0.21,4.22,13,4.88,3.38,2.05,49.47,1.1,1.23,3.62,42.35,1.55,4.24,0.31,0.09,39.33
2448,172.37,172.4,172.39,1477.09,1476.58,1476.83,3.6,16.47,34.28,91.25,82.68,2.08,8.65,0.14,1.06,6.43,38.98,5.76,4.06,2.92,1.06,47.2,0.87,2.05,0.25,5.68,14.83,6.54,7.39,3.97,72.92,1.79,2.44,2.83,12.66,1.76,4.21,0.68,0.08,63.97
2449,172.4,172.46,172.43,1476.58,1475.86,1476.22,4.01,30.18,51.86,137.42,124.455,3.98,8.76,0.28,2.78,15.29,33.48,5.36,3.64,2.79,2.11,247.07,4.54,10.72,1.37,15.86,36.7,27.2,40.64,23.2,294.57,11.22,11.35,15.29,56.84,6.52,7.91,0.58,0.1,60.5
2450,172.46,172.5,172.48,1475.86,1475.24,1475.55,3.38,14.61,13.38,49.05,45.705,2.22,0,0.07,1.13,30.46,27.98,4.96,3.23,2.65,1.13,35.16,0.86,2.08,0.27,5.2,6.58,5.81,4.33,3.44,61.83,1.73,1.86,2.5,11.47,1.72,11.57,0.49,0.12,57.06
2451,172.5,172.55,172.53,1475.24,1474.52,1474.88,5.34,8.87,40.82,78.03,67.825,1.87,0.55,0.23,1.3,6.05,48.35,5.66,4.13,4.57,1.08,56.64,1.73,5.92,0.67,6.9,16.37,8.1,10.18,6.14,101.93,2.31,3.08,2.93,14.04,2.35,12.29,0.54,0.13,92.33
2452,172.55,172.6,172.58,1474.52,1473.47,1474,4.39,9.07,33,71.59,63.34,2.04,2.13,0.07,1.33,12.01,76.51,9.77,7.4,8.77,2.84,91.27,2.97,6.47,0.89,14.67,16.23,11.99,12.6,20.13,152.89,5.33,4.24,3.51,12.04,3.52,9.7,0.63,0.13,25.95
2453,172.6,172.66,172.63,1473.47,1472.33,1472.9,3.82,17.81,41.52,135.29,124.91,1.77,12.38,0.21,1.63,9.8,73.05,8.34,6.83,6.76,1.16,87.97,3.23,7.63,0.99,9.93,28.04,9.74,12.81,68.39,143.99,5.11,3.45,3.39,17.77,3.19,18.15,1.35,0.11,85.98
2454,172.66,172.71,172.68,1472.33,1471.3,1471.81,3.03,21.11,41.73,127.11,116.6775,3.32,8.14,0.15,1.39,9.07,469.74,19.5,8.41,7.22,2.58,380.33,8.82,23.81,3.61,21.81,43.31,63.69,307.01,30.08,1395.94,62.55,35.73,26.64,166.37,8.51,14.08,1.03,0.12,88.81
2455,172.71,172.76,172.73,1471.3,1470.07,1470.68,6.75,26.15,27.2,175.43,168.63,11.35,8.96,0.67,3.4,45.39,328.56,24.5,10,7.67,1.55,284.09,4.4,12,1.79,13.69,17.69,36.43,164.41,19.24,761,32.65,17.2,16.96,96.61,6.8,19.57,0.7,0.13,91.65
2456,172.76,172.8,172.78,1470.07,1468.73,1469.4,4.12,13.76,40.93,61.5,51.2675,1.36,8.19,0.17,0.71,5.28,383.99,7.66,7.24,5.94,2.01,275.23,4.43,11.23,1.65,11.67,15.39,32.94,140.6,13.79,525.93,23.63,12.08,14.26,83.31,6.11,15.87,0.49,0.1,86.33
2457,172.8,172.85,172.82,1468.73,1467.64,1468.18,4.24,22.85,34.86,85.55,76.835,1.91,7.71,0.16,1.27,8.8,116.65,5,4.37,4.38,0.94,92.68,2.53,6.17,0.75,7.07,16.91,12.37,23.55,12.14,152.7,6.57,4.14,7.06,37.72,2.87,29.44,0.43,0.17,55.88
2458,172.85,172.89,172.87,1467.64,1466.63,1467.13,4.41,4.81,35.05,55.62,46.8575,0.63,12.36,0.14,0.53,3.55,42.43,4.66,3.04,3.47,0.88,65.18,1.7,4.1,0.54,5.6,11.27,7.72,14.1,4.77,142.06,3.59,3.35,3.22,16.66,2.49,13.6,0.27,0.08,62.4
2459,172.89,172.93,172.91,1466.63,1465.64,1466.13,6.12,8.36,32.73,76.97,68.7875,1.42,11.97,0.12,0.63,3.8,33.97,3.79,5.47,4.84,1.2,46.16,1.09,2.9,0.4,4.45,16.73,5.98,13.89,5.21,95.35,2.75,1.99,1.9,14.16,1.3,15.45,0.33,0.08,39.74
2460,172.93,172.98,172.96,1465.64,1464.67,1465.15,5.9,10.17,60.35,134.44,119.3525,0.62,11.49,0.12,1.06,5.27,43.76,6.7,4.77,4.75,1.29187,80.05246,2.19473,5.3665,0.71023,7.2891,26.86519,11.40084,17.38845,16.23686,177.83164,4.78849,4.09161,30.15502,21.01342,9.77034,21.58,0.62,0.13,85.87
2461,172.98,173.02,173,1464.67,1463.78,1464.23,4.08,21.42,54.84,111.11,97.4,1.04,21.73,0.14,1.48,8.23,45.08,8.74,6.51,6.03,1.12827,77.77684,1.11568,2.61513,0.34091,7.86877,20.32045,8.6237,7.38709,5.48978,113.06772,2.40889,2.53585,10.28089,13.49377,3.80512,29.57,0.97,0.19,109.47
2462,173.02,173.05,173.04,1463.78,1463.29,1463.54,3.47,14.02,31.13,99.38,91.5975,0.82,9.9,0.07,0.88,4.36,51.02,6.69,6.14,6.21,0.93,95.23,1.88,4.61,0.61,6.49,26.91,10.67,16.01,9.48,154.61,3.97,3.8,16.71,19.29,5.77,20.38,0.54,0.12,82.01
2463,173.05,173.09,173.07,1463.29,1462.62,1462.96,5.19,10.61,51.27,82.04,69.2225,2.32,3.92,0.13,1.05,4.17,30.52,12.68,4.58,3.84,0.69,54.46,0.88,2.08,0.27,5.54,17.63,6.12,5.48,3.67,78.49,1.67,1.79,6.73,8.84,2.36,20.95,0.59,0.14,59.6
2464,173.09,173.13,173.11,1462.62,1461.96,1462.29,5.72,6.42,22.68,117.14,111.47,0.37,8.1,0.06,0.66,3.03,58.28,6.68,7.51,7.67,0.56,110.4,1.57,3.86,0.51,5.69,26.95,9.95,14.63,2.73,131.39,3.15,3.5,3.27,17.57,1.77,19.18,0.47,0.12,78.18
2465,173.13,173.18,173.15,1461.96,1461.14,1461.55,7.97,14.46,30.1,112.28,104.755,3.59,4.07,0.06,0.81,3.77,15.97,16.62,2.64,1.64,0.26,31.15,0.65,1.55,0.21,3.22,14.95,3.61,3.56,1.86,43.92,0.94,1.05,3.19,4.19,0.92,12.33,0.21,0.1,9.81
2466,173.18,173.23,173.2,1461.14,1459.74,1460.44,5.57,6.13,43.78,69.84,58.895,1.3,5.84,0.07,0.71,3.98,31.5,5.07,5.03,4.2,1.11,63.03,1.8,4.41,0.52,8.16,12.33,5.58,7.47,8.52,112.39,2.83,2.66,4.14,10.59,2.4,17.98,0.56,0.08,56.01
2467,173.23,173.28,173.26,1459.74,1458.24,1458.99,4.63,5.93,54.61,59.64,45.9875,1.07,8.19,0.07,1.15,7.82,44.27,12.48,5.94,5.48,1.29,57.19,2.24,5.43,0.63,8.28,10.5,8.74,9.17,5.32,103.4,3.32,2.79,2.36,13.27,2.58,7.59,0.58,0.16,54.15
2468,173.28,173.33,173.31,1458.24,1457.54,1457.89,4.62,7.84,33.48,59.9,51.53,3.01,4.05,0.07,1.25,11.18,36.17,5.13,4.37,4.29,1.85,47.67,0.91,2.55,0.32,7.53,11.93,7.38,6.24,4.14,76.4,2.12,2.11,2.95,9.83,2.35,13.18,0.22,0.17,110.23
