Top Depth,Bot Depth,Mid Depth,MSA,Chloride,Nitrate,Sulfate,Sodium,Ammonium,Potassium,Magnesium,Calcium,Sr88(LR),Cd111(LR),Cs133(LR),Ba137(LR),La139(LR),Ce140(LR),Pr141(LR),Pb208(LR),Bi209(LR),U238(LR),As75(LR),Li7(LR),Al27(MR),S32(MR),Ca44(MR),Ti47(MR),V51(MR),Cr52(MR),Mn55(MR),Fe56(MR),Co59(MR),Cu63(MR),Zn66(MR),As75(HR),K39(HR),Na23(MR),Mg24(MR),Cu No Volcs
11.05681219,11.16836707,11.11258963,3.8,5.25,50.1,48.39,0.4,0.03,0.05,0.05,1.4,16.76,1.386,1.519,83.907,0.862,1.924,0.209,17.108,0.319,1950.578,8.259,6.27,10.758,10.402,2.613,549.489,4.915,7.61,73.572,2.116,2.604,26.677,249.366,7.632,1.705,4.248,10.061,26.677
11.16836707,11.23555238,11.20195973,1.43,36.69,200.07,83.43,0.81,15.6,0.62,0.28,3.82,11.087,1.57,0.606,25.285,0.437,0.944,0.11,18.493,0.348,1558.613,7.181,3.483,9.968,12.888,2.128,672.305,3.845,7.172,62.716,1.509,2.674,24.793,262.069,7.1,0.469,5.085,13.372,24.793
11.23555238,11.315,11.27527619,3.62,11.9,70.86,129.94,1.07,0.4,0.1,0.04,0.85,13.869,1.602,0.908,42.961,0.651,1.86,0.281,21.18,0.176,1438.903,7.857,5.705,7.331,13.465,3.621,125.847,4.745,9.41,98.768,2.294,7.333,79.821,289.025,7.621,1.029,4.994,6.082,79.821
11.515,11.59837118,11.55668559,0.89,16.05,177.03,71.06,2.66,19.04,1.44,0.12,1.79,22.373,2.986,1.078,75.613,1.626,4.299,0.511,32.652,0.548,2071.23,6.305,3.819,8.902,11.248,6.961,49.797,3.014,9.52,88.679,1.475,2.455,83.674,416.348,5.767,2.718,5.425,8.643,83.674
11.59837118,11.6915371,11.64495414,1.35,22.74,111.89,224.49,0.97,30.7,2.62,0.04,1.35,35.097,2.4,0.751,66.223,1.603,3.75,0.439,55.754,0.38,2510.904,7.367,2.466,10.083,33.403,6.206,110.056,16.605,3.027,76.725,1.749,1.59,67.605,1187.887,7.579,1.663,1.223,8.255,67.605
11.6915371,11.77595412,11.73374561,1.99,29.63,153.22,199.51,1.35,33.31,3.12,0.11,1.28,16.413,3.028,0.792,19.947,2.998,8.36,1.045,54.201,0.759,2810.576,9.891,2.946,9.431,49.521,4.26,135.145,4.937,6.404,58.94,2.025,1.602,60.683,752.398,9.726,4.437,1.6,9.19,60.683
11.77595412,11.87529854,11.82562633,2.01,25.46,169.72,150.23,2.38,11.18,2.15,0.13,2.67,8.551,3.005,1.03,26.046,3.461,9.211,1.135,55.089,0.74,4926.238,12.647,2.582,7.262,83.349,1.661,62.163,4.128,2.26,43.081,2.309,1.504,92.378,312.395,13.268,4.844,1.619,6.024,92.378
11.87529854,11.95449612,11.91489733,6.8,5.63,57.33,65.25,0.83,10.65,2.15,0.1,1.72,39.848,4.603,15.786,87.097,4.63,11.774,1.441,72.644,1.136,4986.613,16.949,27.84,17.76,75.454,7.398,1786.709,26.795,11.91,344.103,13.619,6.574,46.4,629.015,18.685,13.867,9.503,10.914,46.4
11.95449612,12.03277573,11.99363593,1.86,48.96,200.86,192.52,17.9,32.49,13.52,3.15,13.36,71.146,6.202,30.543,148.148,5.799,14.338,1.746,90.199,1.532,5046.987,21.251,53.098,28.257,67.56,13.136,3511.255,49.463,21.56,645.125,24.929,11.644,78.548,945.635,24.102,22.89,17.387,15.805,78.548
12.03277573,12.10820226,12.07048899,5.7,14.91,76.59,73.95,8.61,36.58,6.31,1.25,7.69,16.829,3.065,0.851,60.744,1.094,2.511,0.316,19.27,0.438,1298.66,8.198,4.46,7.765,21.839,3.134,251.112,6.104,7.084,431.549,2.526,2.516,32.118,322.19,8.392,5.035,22.255,7.959,32.118
12.10820226,12.19158612,12.14989419,4.43,10.25,58.77,66.18,6.32,16.39,6.06,0.99,7.86,42.318,2.024,1.859,61.724,1.377,3.003,0.371,21.91,0.436,1000.198,11.488,12.107,15.762,20.19,7.635,437.502,13.74,15.746,150.876,5.158,5.546,64.719,255.959,11.538,7.024,9.117,10.317,64.719
